CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency,type
0248ab1e-2f61-4d2e-98e3-6e12c390a1b5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 738, 'type': 'name'}",66fe96fd9aed72ff52480830,2024-10-03 16:07:09.570,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,738,name
0b0fb89d-096b-40ed-9f31-0853911d581c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,95,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1148, 'type': 'name'}",66fecebf55f202ce26139bc5,2024-10-03 20:05:03.531,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1148,name
e1796081-5ed6-474d-8588-ef372e1bb819,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 241, 'type': 'name'}",67003290da6a1c1483236ec1,2024-10-04 21:23:12.142,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,241,name
7c834aef-a05a-4c73-8d71-4ff7ac271019,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,85,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 222, 'type': 'name'}",670d4b0a881e9aad8ce3d19c,2024-10-14 19:47:06.863,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,222,name
8af9c7d6-87a4-4d35-87e8-51fb1d41c1d1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,93,"{'nluEngineVersion': 'e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1', 'requestLatency': 472, 'type': 'name'}",670821ee8529bdd2887d64d8,2024-10-10 21:50:22.818,DISAMBIGUATION_HINT,e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1,472,name
974358d4-8741-4d5d-9d4d-ff387cf95fe6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,47,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 464, 'type': 'name'}",66fc544955f202ce26fa97e0,2024-10-01 22:58:01.341,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,464,name
9c2611e2-7da9-4699-b8a9-756b50ce6f48,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,60,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 388, 'type': 'name'}",66fc5221ce37c378347d69a1,2024-10-01 22:48:49.275,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,388,name
e2edac63-0b5e-47aa-ba2b-00175cea5171,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 426, 'type': 'name'}",66fc234e55f202ce26f7ef75,2024-10-01 19:29:02.127,DISAMBIGUATION_HINT,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,426,name
0d7ccf85-ee2a-4b6c-ba8f-20f2de4ec192,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,66,"{'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-9e92385eca986a968c0ca3e707e0274a', 'requestLatency': 426, 'type': 'name'}",66fbfe5355f202ce26f593f3,2024-10-01 16:51:15.114,DISAMBIGUATION_HINT,994728dac64a817fed0f861790cb68161d62463e urmc-9e92385eca986a968c0ca3e707e0274a,426,name
e3b2ae20-dc1e-40b1-b49f-bf5836299103,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 754, 'type': 'name'}",670564d34f3c05168c78845a,2024-10-08 19:58:59.292,DISAMBIGUATION_HINT,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,754,name
a633bccd-020d-49e0-a9e1-ecae9edbc636,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,"{'nluEngineVersion': '8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 438, 'type': 'name'}",670d5df114519701d62fba65,2024-10-14 21:07:45.779,DISAMBIGUATION_HINT,8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d,438,name
297cd602-750c-4e14-a3f1-9e58e4465c00,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 405, 'type': 'name'}",670d3afe881e9aad8ce2f776,2024-10-14 18:38:38.098,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,405,name
f85f1edc-5df4-4f13-9e50-d7cb04fdf082,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 543, 'type': 'name'}",670d267a881e9aad8ce1aeca,2024-10-14 17:11:06.058,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,543,name
c79a9c43-a606-4edb-841f-6c7a953c1199,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 235, 'type': 'name'}",670d46d6881e9aad8ce39854,2024-10-14 19:29:10.894,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,235,name
1666d847-1a6e-4063-b306-159352386344,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,59,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 576, 'type': 'name'}",66fc4f48f5f972a5bee7d778,2024-10-01 22:36:40.522,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,576,name
2976cc9b-7d9a-4736-bc0a-ec49866965b7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': '2e1507ce847342e9c6b49a2a855bd4def47b8a06 urmc-9e92385eca986a968c0ca3e707e0274a', 'requestLatency': 429, 'type': 'name'}",66fbea0ece37c3783476c62e,2024-10-01 15:24:46.196,DISAMBIGUATION_HINT,2e1507ce847342e9c6b49a2a855bd4def47b8a06 urmc-9e92385eca986a968c0ca3e707e0274a,429,name
9760ab45-4366-40c1-8383-362b95d5a108,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 468, 'type': 'name'}",66fc0b7955f202ce26f689b6,2024-10-01 17:47:21.986,DISAMBIGUATION_HINT,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,468,name
02ab6f8d-23e3-4ffc-a1c8-2f75baac3101,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,60,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 604, 'type': 'name'}",66fc515055f202ce26fa7155,2024-10-01 22:45:20.640,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,604,name
35d2620a-aa32-4f2d-b018-576b5a0f7de1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,47,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049', 'requestLatency': 615, 'type': 'name'}",6703db56ce37c37834ceb2f3,2024-10-07 16:00:06.364,DISAMBIGUATION_HINT,7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049,615,name
2e0160c9-3df3-4f15-ba4c-d2c9efc0a881,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 632, 'type': 'name'}",6703f70f00ab2c30dea89f0f,2024-10-07 17:58:23.732,DISAMBIGUATION_HINT,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,632,name
2e0160c9-3df3-4f15-ba4c-d2c9efc0a881,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,170,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 352, 'type': 'name'}",6703f8fa00ab2c30dea8ba05,2024-10-07 18:06:34.934,DISAMBIGUATION_HINT,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,352,name
f8e1fda0-5070-42c8-b5bb-2288d7b345e7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,59,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 641, 'type': 'name'}",670424c755f202ce26476c21,2024-10-07 21:13:27.960,DISAMBIGUATION_HINT,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,641,name
dde21e51-da50-40f1-8e97-308e52e1df9f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,99,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 399, 'type': 'name'}",67041638ce37c37834d22e28,2024-10-07 20:11:20.089,DISAMBIGUATION_HINT,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,399,name
3223cf35-c71d-4fe3-b9c1-68872df9ab96,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 496, 'type': 'name'}",6703fe7ece37c37834d0dd58,2024-10-07 18:30:06.149,DISAMBIGUATION_HINT,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,496,name
80d00fe3-b19d-4102-98d9-0256c16ed540,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,65,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049', 'requestLatency': 715, 'type': 'name'}",6703d035ce37c37834ce2000,2024-10-07 15:12:37.947,DISAMBIGUATION_HINT,7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049,715,name
fd75fe86-b7b4-47aa-a62c-5c0d61a5bf6e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 170, 'type': 'name'}",67042bd2ce37c37834d36007,2024-10-07 21:43:30.994,DISAMBIGUATION_HINT,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,170,name
300648c3-de1b-4612-a42a-9b78bba021aa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 191, 'type': 'name'}",67043099dd018676c742e8ab,2024-10-07 22:03:53.111,DISAMBIGUATION_HINT,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,191,name
5d2a65b9-54d5-4e04-b044-850cafd46e85,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,59,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 972, 'type': 'name'}",6703e9fa55f202ce26442665,2024-10-07 17:02:34.320,DISAMBIGUATION_HINT,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,972,name
d83e8d32-9190-42b7-ae09-3b46ab5f9294,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 288, 'type': 'name'}",6703f077dd018676c73f61c3,2024-10-07 17:30:15.363,DISAMBIGUATION_HINT,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,288,name
adea2aec-a361-46f1-91fe-73c86591bd14,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 256, 'type': 'name'}",6704149555f202ce264692a1,2024-10-07 20:04:21.746,DISAMBIGUATION_HINT,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,256,name
e69c48f8-0692-4116-86c5-00f0b4077e1f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 207, 'type': 'name'}",670d515a881e9aad8ce4248f,2024-10-14 20:14:02.921,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,207,name
531d8138-9ea7-4373-9ea6-1a48bf5e60ef,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 237, 'type': 'name'}",66fd953455f202ce2606e845,2024-10-02 21:47:16.720,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,237,name
9a9df2d4-579d-44e7-85b2-bf145ef41226,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,191,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 402, 'type': 'name'}",66fd72b84a29b75ae498c53b,2024-10-02 19:20:08.307,DISAMBIGUATION_HINT,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,402,name
0d6d27ef-c591-4c4a-91fd-654092577cae,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,81,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 340, 'type': 'name'}",670d49c58790e7f88c2758fa,2024-10-14 19:41:41.931,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,340,name
acfe2922-4449-4367-81b6-6a2b55a72e29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,61,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 241, 'type': 'name'}",670d46bb8790e7f88c27307e,2024-10-14 19:28:43.530,DISAMBIGUATION_HINT,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,241,name
