ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,sampleRate,sampleSize,streamType,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,38,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670435b2681a3e4d7a27f20a,48000.0,16.0,start,2024-10-07 22:25:38.798,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,49,{'streamType': 'end'},670435bc681a3e4d7a27f274,,,end,2024-10-07 22:25:48.477,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,43,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670452c300ab2c30dead7509,48000.0,16.0,start,2024-10-08 00:29:39.735,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,51,{'streamType': 'end'},670452cb00ab2c30dead7571,,,end,2024-10-08 00:29:47.354,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,66,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670452de00ab2c30dead7635,48000.0,16.0,start,2024-10-08 00:30:06.537,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,75,{'streamType': 'end'},670452e200ab2c30dead7679,,,end,2024-10-08 00:30:10.964,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,84,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670452ee00ab2c30dead7726,48000.0,16.0,start,2024-10-08 00:30:22.490,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20d11499-7f1e-47d6-a470-719fdd90ec8c,93,{'streamType': 'end'},670452f300ab2c30dead7786,,,end,2024-10-08 00:30:27.981,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,50,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6703ea4600ab2c30dea7d423,48000.0,16.0,start,2024-10-07 17:03:50.054,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,57,{'streamType': 'end'},6703ea4700ab2c30dea7d43f,,,end,2024-10-07 17:03:51.647,AUDIO_STREAM
