CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,lastUtteranceSource,reason
d69b0bb7-1c71-44d4-bfe1-29cdaaca87c0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd3f6bce37c378348686f9,2024-10-02 15:41:15.209,CHAT_CONVERSATION_ENDED,Bot,inactivity
8d487488-d409-4ca3-b397-799031e28edb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,112,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fdbd4d56f35ba81da0b1c1,2024-10-03 00:38:21.381,CHAT_CONVERSATION_ENDED,Bot,inactivity
ff959007-d430-49bf-b9ce-f5e0a2dbce5a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd51df4a29b75ae496dcbb,2024-10-02 16:59:59.792,CHAT_CONVERSATION_ENDED,Bot,inactivity
509e9c2b-cf55-4781-be8f-284ca9339c81,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,117,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fdaee156f35ba81d9ff934,2024-10-02 23:36:49.595,CHAT_CONVERSATION_ENDED,Bot,inactivity
509e9c2b-cf55-4781-be8f-284ca9339c81,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,118,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fdaee156f35ba81d9ff935,2024-10-02 23:36:49.596,CHAT_CONVERSATION_ENDED,Bot,inactivity
afee8fa0-a3b3-4cd6-b2f9-55a072d52fe2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67083914d7b6713c29c26207,2024-10-10 23:29:08.529,CHAT_CONVERSATION_ENDED,Bot,inactivity
c131cebc-880b-424a-afe4-ecf901a21c31,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6708328a8529bdd2887e4749,2024-10-10 23:01:14.280,CHAT_CONVERSATION_ENDED,Bot,inactivity
5dd8a52a-8b9d-44d2-954c-3698a61d6557,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6708305b8529bdd2887e2a4a,2024-10-10 22:51:55.627,CHAT_CONVERSATION_ENDED,Bot,inactivity
982a906c-15d2-4560-98d6-8ab3d75f35e2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,76,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707d45d7673c82f42812b50,2024-10-10 16:19:25.708,CHAT_CONVERSATION_ENDED,Bot,inactivity
59ff0929-6ba0-4fce-b4bf-29bcc3d048b4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,47,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707d57a14519701d6f91c43,2024-10-10 16:24:10.762,CHAT_CONVERSATION_ENDED,Bot,inactivity
