CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,data,nluEngineVersion,requestLatency
adea2aec-a361-46f1-91fe-73c86591bd14,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 169}",6704149255f202ce2646926a,2024-10-07 20:04:18.746,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,169
c4589dd7-7c8f-4036-b502-d4f8150f7f3a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'data': {'areAgentsOnline': False, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': 'e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1', 'requestLatency': 141}",67080f9386501aa6ad2011f6,2024-10-10 20:32:03.396,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': False, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1,141
e69c48f8-0692-4116-86c5-00f0b4077e1f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 145}",670d5156881e9aad8ce42447,2024-10-14 20:13:58.510,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,145
531d8138-9ea7-4373-9ea6-1a48bf5e60ef,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 179}",66fd952f55f202ce2606e80f,2024-10-02 21:47:11.046,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,179
9a9df2d4-579d-44e7-85b2-bf145ef41226,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 225}",66fd72714a29b75ae498c128,2024-10-02 19:18:57.172,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,225
9a9df2d4-579d-44e7-85b2-bf145ef41226,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,169,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 314}",66fd72b44a29b75ae498c4f0,2024-10-02 19:20:04.193,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,314
0d6d27ef-c591-4c4a-91fd-654092577cae,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 501}",670d49b18790e7f88c2757db,2024-10-14 19:41:21.769,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,501
acfe2922-4449-4367-81b6-6a2b55a72e29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 188}",670d46b88790e7f88c273050,2024-10-14 19:28:40.186,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,188
70a8a5ee-e5a0-4ecf-bb47-f04d5d51f1aa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,36,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': '8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 300}",670d5a178790e7f88c2844ff,2024-10-14 20:51:19.775,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d,300
67d55272-7a89-478a-8104-40f533d9321d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'data': {'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}, 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 294}",670ea73ac6d56ea4415eb9bd,2024-10-15 20:32:42.784,LIVE_CHAT_AGENTS_AVAILABILITY,"{'areAgentsOnline': True, 'query': {}, 'status': 'SUCCESS', 'type': 'analytics'}",0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,294
