ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,key,name,nluEngineVersion,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,4716e23e-d36d-4cff-8849-e6e7d05945f5,19,"{'key': 'CAREER', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 4192}",6703e19b55f202ce2643a6af,CAREER,CANNED_RESPONSE_TRIGGERED,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,4192,2024-10-07 16:26:51.508,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,c81041d2-9b68-44a2-8587-639b150b13fd,39,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 2078}",6703ea6bce37c37834cfa17b,MY_CHART,CANNED_RESPONSE_TRIGGERED,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,2078,2024-10-07 17:04:27.238,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,88a07a04-9318-4f4e-9a93-6d747b73c7ea,19,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 1493}",67045d41dd018676c74526b1,,INFORMATION_SEARCH,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,1493,2024-10-08 01:14:25.416,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,98c7ec65-7a0c-4a45-be3c-90ab1c0d7e46,165,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 2682}",66fe01c855f202ce260c3b88,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,2682,2024-10-03 05:30:32.257,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,1abe8926-db6a-4814-ac9a-a3cbcd2887df,17,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1235}",66ff120a55f202ce2617557c,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1235,2024-10-04 00:52:10.531,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,1abe8926-db6a-4814-ac9a-a3cbcd2887df,47,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1794}",66ff12ea55f202ce2617600c,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1794,2024-10-04 00:55:54.197,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17c742d0-d525-4f4d-a980-4555b7ada802,22,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 2903}",66feef5955f202ce2615734a,MY_CHART,CANNED_RESPONSE_TRIGGERED,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,2903,2024-10-03 22:24:09.984,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3c13aca3-0330-45c3-aa71-9a37a21f1214,15,"{'name': 'CORONAVIRUS_GENERAL', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1858}",6709c72114519701d60ffcc7,,CORONAVIRUS_GENERAL,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1858,2024-10-12 03:47:29.670,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2c2af241-1c50-470c-9982-6a0ed0031a0f,55,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 1010}",66fd70fd56f35ba81d9cd9ed,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,1010,2024-10-02 19:12:45.563,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,49d17c22-770e-4925-a4ca-c48057afc0b0,22,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 3137}",66fdc4aace37c378348ed52f,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,3137,2024-10-03 01:09:46.214,INTENT
