CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency
3cb95c1c-e223-428d-afd5-4a266c52e9cb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,13,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 2924}",66fff9beda6a1c14832018fe,2024-10-04 17:20:46.134,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,2924
673fc6a0-080f-4310-9389-b5fa14d7535c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 7232}",66ffe0f5ce37c37834a68f22,2024-10-04 15:35:01.322,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,7232
673fc6a0-080f-4310-9389-b5fa14d7535c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,61,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1943}",66ffe122ce37c37834a69282,2024-10-04 15:35:46.433,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1943
673fc6a0-080f-4310-9389-b5fa14d7535c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 2544}",66ffe18dce37c37834a69a59,2024-10-04 15:37:33.852,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,2544
0efb8cf0-9d45-4894-8354-bb383f3a8d1d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,52,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 1211}",6700355cda6a1c1483239338,2024-10-04 21:35:08.000,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,1211
4bca2520-0c38-4b61-a01a-0fd0d7b1c173,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,83,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 1562}",67002cdffd4c301deb1c9700,2024-10-04 20:58:55.219,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,1562
3b1f62a7-0618-4691-a20a-90e99905c38e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 1502}",6700437655f202ce26242252,2024-10-04 22:35:18.176,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,1502
364995f9-cf4d-4e6f-b93c-a34b4f461b9b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 3570}",66ffc3f8ce37c37834a5443f,2024-10-04 13:31:20.009,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,3570
816d1a35-d7c4-43f6-a6c3-ac2d48526528,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,109,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 2952}",670048d5da6a1c14832485fc,2024-10-04 22:58:13.668,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,2952
20709536-ffc3-4466-a024-5ddab90142ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 3018}",67000081da6a1c1483208d4e,2024-10-04 17:49:37.343,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,3018
18b02307-bfb2-4f0f-8d34-a9363f752cf6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1537}",66ff987d55f202ce261c7851,2024-10-04 10:25:49.857,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1537
18b02307-bfb2-4f0f-8d34-a9363f752cf6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 1267}",66ff988755f202ce261c7883,2024-10-04 10:25:59.070,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,1267
18b02307-bfb2-4f0f-8d34-a9363f752cf6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 828}",66ff989a55f202ce261c78d2,2024-10-04 10:26:18.462,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,828
