CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,provider
f30ca069-de63-4143-8869-ab6df70a3058,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,{'provider': 'DEEPGRAM'},670c275814519701d62324a2,2024-10-13 23:02:32.207,STT_PROVIDER,DEEPGRAM
89df92a8-729f-4446-88f1-bda445867415,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},670bf9ad8529bdd288a191f7,2024-10-13 19:47:41.098,STT_PROVIDER,DEEPGRAM
73c81af3-0d19-4fc8-8bb5-6417d05062d9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,{'provider': 'DEEPGRAM'},670828a014519701d6fdf817,2024-10-10 22:18:56.834,STT_PROVIDER,DEEPGRAM
71989c95-9f91-4e9d-a2f9-65f88bfc78e0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,{'provider': 'DEEPGRAM'},6708340c8529bdd2887e5a7a,2024-10-10 23:07:40.736,STT_PROVIDER,DEEPGRAM
e2ee12bf-20e6-46b3-8447-fad54510fdd3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,111,{'provider': 'DEEPGRAM'},66fdf41255f202ce260b9b62,2024-10-03 04:32:02.449,STT_PROVIDER,DEEPGRAM
7bdf5b3d-79c8-4356-8ad6-9d98e9922e6a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,{'provider': 'DEEPGRAM'},66ffbaed55f202ce261d11bf,2024-10-04 12:52:45.340,STT_PROVIDER,DEEPGRAM
9f2e3ea9-e583-4526-92b2-ceac99d50e42,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},670d28c48790e7f88c257b18,2024-10-14 17:20:52.498,STT_PROVIDER,DEEPGRAM
64068ad9-3377-468c-b9aa-ff578b57c968,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,{'provider': 'DEEPGRAM'},66fb9510ce37c37834748a3d,2024-10-01 09:22:08.548,STT_PROVIDER,DEEPGRAM
64068ad9-3377-468c-b9aa-ff578b57c968,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{'provider': 'DEEPGRAM'},66fb951bce37c37834748a89,2024-10-01 09:22:19.836,STT_PROVIDER,DEEPGRAM
9bf14426-7734-463f-9422-2cb601b127f8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,{'provider': 'DEEPGRAM'},670d97068529bdd288b39a16,2024-10-15 01:11:18.661,STT_PROVIDER,DEEPGRAM
9bf14426-7734-463f-9422-2cb601b127f8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,{'provider': 'DEEPGRAM'},670d975f8529bdd288b39f0f,2024-10-15 01:12:47.939,STT_PROVIDER,DEEPGRAM
