CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent
ab8ca48c-8e02-49f9-a127-cfed54607e15,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,106,{},67073b3614519701d6f4f902,2024-10-10 05:25:58.060,MAP_CLICK
ab8ca48c-8e02-49f9-a127-cfed54607e15,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,131,{},67073b767673c82f427d20c4,2024-10-10 05:27:02.116,MAP_CLICK
304f2a1a-3739-4e08-b6b9-ac777d422661,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,{},6707c8c27673c82f4280624c,2024-10-10 15:29:54.640,MAP_CLICK
3d06d01b-309e-4004-895a-3b2bccf1d53a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91,{},670ea207f9334728e3fbf28f,2024-10-15 20:10:31.807,MAP_CLICK
3d06d01b-309e-4004-895a-3b2bccf1d53a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,139,{},670ea2cb14519701d63d9560,2024-10-15 20:13:47.566,MAP_CLICK
3afb3be0-8a0b-4632-867a-4b184ed3cb7e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},670e486c8529bdd288b94b50,2024-10-15 13:48:12.468,MAP_CLICK
3afb3be0-8a0b-4632-867a-4b184ed3cb7e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,45,{},670e48888529bdd288b94beb,2024-10-15 13:48:40.402,MAP_CLICK
ec5bf07c-175e-4b87-b56e-9cad17eefd42,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,{},66ff4afcce37c37834a1ed8d,2024-10-04 04:55:08.657,MAP_CLICK
ec5bf07c-175e-4b87-b56e-9cad17eefd42,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68,{},66ff4b4255f202ce261a54dc,2024-10-04 04:56:18.360,MAP_CLICK
ec5bf07c-175e-4b87-b56e-9cad17eefd42,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,74,{},66ff4b6255f202ce261a5697,2024-10-04 04:56:50.976,MAP_CLICK
82ce93bd-2418-44ee-884a-b7a3307f6870,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,80,{},67007a34ce37c37834af6436,2024-10-05 02:28:52.040,MAP_CLICK
8e6e0074-68a8-4514-99ad-ea5b5a5244d0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,{},67004e50fd4c301deb1e3d65,2024-10-04 23:21:36.953,MAP_CLICK
c9a36881-5786-4acb-aa2b-ba70a85fedeb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73,{},66ff5dcb55f202ce261b2d02,2024-10-04 06:15:23.926,MAP_CLICK
